Tanggal,Waktu,Denpasar,Badung,Gianyar,Tabanan,Bangli,Klungkung,Karangasem,Singaraja,Jembrana
01/01/2025,00:00,21.8,38,38,38,38,21.2,21.2,29.5,21.8
01/01/2025,01:00,21.8,39.5,39.5,39.5,39.5,20.5,20.5,29.9,21.8
01/01/2025,02:00,20,38.8,38.8,38.8,38.8,20.3,20.3,29.7,20
01/01/2025,03:00,20.6,41,41,41,41,20.3,20.3,29.6,20.6
01/01/2025,04:00,23.2,44.4,44.4,44.4,44.4,20.2,20.2,29.9,23.2
01/01/2025,05:00,24.5,45.3,45.3,45.3,45.3,19.6,19.6,30.3,24.5
01/01/2025,06:00,27.2,49.9,49.9,49.9,49.9,19.6,19.6,30,27.2
01/01/2025,07:00,25.7,45.2,45.2,45.2,45.2,19,19,26.9,25.7
01/01/2025,08:00,17.2,36.3,36.3,36.3,36.3,21.9,21.9,28.6,17.2
01/01/2025,09:00,14.3,25.6,25.6,25.6,25.6,19.2,19.2,23.3,14.3
01/01/2025,10:00,12.1,16.5,16.5,16.5,16.5,18.7,18.7,19,12.1
01/01/2025,11:00,11.6,15.1,15.1,15.1,15.1,19.6,19.6,16.8,11.6
01/01/2025,12:00,10.1,15.8,15.8,15.8,15.8,18.7,18.7,16.2,10.1
01/01/2025,13:00,9.1,11.9,11.9,11.9,11.9,16.8,16.8,13.4,9.1
01/01/2025,14:00,9.1,11.1,11.1,11.1,11.1,15.3,15.3,12.4,9.1
01/01/2025,15:00,8.4,12.6,12.6,12.6,12.6,13.7,13.7,12.1,8.4
01/01/2025,16:00,8.1,14.1,14.1,14.1,14.1,12.3,12.3,12.3,8.1
01/01/2025,17:00,9.1,18.5,18.5,18.5,18.5,12.1,12.1,13.6,9.1
01/01/2025,18:00,11.1,22.2,22.2,22.2,22.2,12.4,12.4,14.3,11.1
01/01/2025,19:00,13.6,18,18,18,18,9.9,9.9,11.1,13.6
01/01/2025,20:00,14.7,34.5,34.5,34.5,34.5,15.3,15.3,19.7,14.7
01/01/2025,21:00,18.3,44.5,44.5,44.5,44.5,16.1,16.1,22.9,18.3
01/01/2025,22:00,16.8,35.5,35.5,35.5,35.5,14,14,20.5,16.8
01/01/2025,23:00,12.8,25.3,25.3,25.3,25.3,12.5,12.5,18.1,12.8
02/01/2025,00:00,11.8,21.8,21.8,21.8,21.8,11.6,11.6,17.3,11.8
02/01/2025,01:00,11.1,19.6,19.6,19.6,19.6,10.9,10.9,16.4,11.1
02/01/2025,02:00,10.3,17.6,17.6,17.6,17.6,9.9,9.9,15.6,10.3
02/01/2025,03:00,10.2,17.2,17.2,17.2,17.2,9.4,9.4,15.3,10.2
02/01/2025,04:00,10,16.8,16.8,16.8,16.8,9.2,9.2,15.1,10
02/01/2025,05:00,9.6,15.8,15.8,15.8,15.8,9.2,9.2,14.5,9.6
02/01/2025,06:00,9.7,15.1,15.1,15.1,15.1,9.3,9.3,13.5,9.7
02/01/2025,07:00,10,14.4,14.4,14.4,14.4,9.3,9.3,12.4,10
02/01/2025,08:00,13.8,28.5,28.5,28.5,28.5,16.4,16.4,19,13.8
02/01/2025,09:00,10.9,23.9,23.9,23.9,23.9,15.3,15.3,16.8,10.9
02/01/2025,10:00,9.7,17.5,17.5,17.5,17.5,13.3,13.3,13.6,9.7
02/01/2025,11:00,9.4,14.7,14.7,14.7,14.7,12.8,12.8,12.1,9.4
02/01/2025,12:00,9.4,13.2,13.2,13.2,13.2,12.4,12.4,11.3,9.4
02/01/2025,13:00,9.2,13.1,13.1,13.1,13.1,12,12,11.3,9.2
02/01/2025,14:00,8.8,12.5,12.5,12.5,12.5,11.6,11.6,11,8.8
02/01/2025,15:00,8,12.1,12.1,12.1,12.1,11,11,11,8
02/01/2025,16:00,7.4,12.3,12.3,12.3,12.3,10.3,10.3,11,7.4
02/01/2025,17:00,7,12.3,12.3,12.3,12.3,9.8,9.8,11.4,7
02/01/2025,18:00,7.1,16.4,16.4,16.4,16.4,10.8,10.8,13.2,7.1
02/01/2025,19:00,7.8,24,24,24,24,13.1,13.1,16.4,7.8
02/01/2025,20:00,7.5,23.1,23.1,23.1,23.1,10.3,10.3,14.8,7.5
02/01/2025,21:00,6.6,18.9,18.9,18.9,18.9,10,10,13.6,6.6
02/01/2025,22:00,7.9,21,21,21,21,11,11,14.4,7.9
02/01/2025,23:00,9.1,23.2,23.2,23.2,23.2,11.7,11.7,14.8,9.1
03/01/2025,00:00,9.6,21.7,21.7,21.7,21.7,11.3,11.3,13.7,9.6
03/01/2025,01:00,9.1,18,18,18,18,10.2,10.2,12.1,9.1
03/01/2025,02:00,8.5,16.2,16.2,16.2,16.2,9.7,9.7,11.3,8.5
03/01/2025,03:00,8,15.4,15.4,15.4,15.4,9.3,9.3,10.9,8
03/01/2025,04:00,7.6,14.5,14.5,14.5,14.5,9.2,9.2,10.4,7.6
03/01/2025,05:00,7,15.3,15.3,15.3,15.3,9.6,9.6,10.8,7
03/01/2025,06:00,6.9,15.5,15.5,15.5,15.5,10,10,10.5,6.9
03/01/2025,07:00,6.8,16.9,16.9,16.9,16.9,11,11,11.1,6.8
03/01/2025,08:00,8.2,15.8,15.8,15.8,15.8,11.1,11.1,11.5,8.2
03/01/2025,09:00,7.7,15.1,15.1,15.1,15.1,11.6,11.6,11.2,7.7
03/01/2025,10:00,7.5,14.1,14.1,14.1,14.1,12,12,10.9,7.5
03/01/2025,11:00,7.2,13,13,13,13,11.4,11.4,10.6,7.2
03/01/2025,12:00,6.8,12.2,12.2,12.2,12.2,10.4,10.4,10.2,6.8
03/01/2025,13:00,6.1,10,10,10,10,9,9,9.2,6.1
03/01/2025,14:00,5.6,10,10,10,10,8.5,8.5,9.7,5.6
03/01/2025,15:00,5.2,10,10,10,10,8.2,8.2,9.7,5.2
03/01/2025,16:00,4.7,12.8,12.8,12.8,12.8,9.1,9.1,10.8,4.7
03/01/2025,17:00,4.7,12.9,12.9,12.9,12.9,8.7,8.7,10.3,4.7
03/01/2025,18:00,5.1,12.7,12.7,12.7,12.7,8.4,8.4,9.7,5.1
03/01/2025,19:00,5.6,12.6,12.6,12.6,12.6,8.1,8.1,9.1,5.6
03/01/2025,20:00,6.4,14.7,14.7,14.7,14.7,8,8,10.7,6.4
03/01/2025,21:00,6.7,17.4,17.4,17.4,17.4,9,9,11.8,6.7
03/01/2025,22:00,6.6,19.7,19.7,19.7,19.7,10.2,10.2,13.2,6.6
03/01/2025,23:00,6.3,18.5,18.5,18.5,18.5,10.1,10.1,12.4,6.3
